URL,Caption
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_3.jpeg?raw=true,"The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_7.jpeg?raw=true,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_11.jpeg?raw=true,"The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_13.jpeg?raw=true,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_20.jpeg?raw=true,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_25.jpeg?raw=true,"A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_27.jpeg?raw=true,"The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_32.jpeg?raw=true,"A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_34.jpeg?raw=true,"The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_49.jpeg?raw=true,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_53.jpeg?raw=true,"The image is a humorous cartoon showing two people in bed, one reading a book and the other hidden behind a newspaper with only antenna-like extensions visible, suggesting a playful pun on watching ""the bugs"" or being absorbed in reading about bugs or technology."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_57.jpeg?raw=true,"The image is a black-and-white cartoon showing two men in a living room, one standing by a fireplace over which a large fish is mounted, with a clock and two small vases on the mantelpiece, as they appear to be engaged in a conversation."
