URL,Answer
https://i.imgflip.com/4/30b1gx.jpg,"{""selected_caption"": ""Switching to the cold side of a pillow; switching to the cold side of a mattress""}"
https://i.imgflip.com/4/1ur9b0.jpg,"{""selected_caption"": ""MY 20 PAGES MATH HOMEWORK; THE BOIS CAALLING ME ON DISCORD TO PLAY VIDEO GAMES""}"
https://i.imgflip.com/4/1g8my4.jpg,"{""selected_caption"": ""The picture shows a two-panel comic where in the top panel a hand is poised over two identical red buttons, and in the bottom panel, a man appears to be sweating and anxious while making a difficult decision.""}"
https://i.imgflip.com/4/9ehk.jpg,"{""selected_caption"": ""Batman is shown slapping another character in a vintage comic book panel.""}"
https://i.imgflip.com/4/24y43o.jpg,"{""selected_caption"": ""Showers are just homemade rain""}"
https://i.imgflip.com/4/22bdq6.jpg,"{""selected_caption"": ""Peace; Death; People in Films""}"
https://i.imgflip.com/4/3lmzyx.jpg,"{""selected_caption"": ""A man is humorously contemplating a modified Uno card that jokingly offers the choice of performing an unspecified action or drawing 25 cards.""}"
https://i.imgflip.com/4/261o3j.jpg,"{""selected_caption"": ""The image is a two-panel cartoon showing an enthusiastic stick figure-like character about to touch a large yellow circle, being supported from behind by a pink creature in the second panel.""}"
https://i.imgflip.com/4/1bij.jpg,"{""selected_caption"": ""ONE DOES NOT SIMPLY; SEND A MEME TO A MEME WAR""}"
https://i.imgflip.com/4/1jwhww.jpg,"{""selected_caption"": ""MY FRIEND WHEN I'M TRYING TO TAKE AN ONLINE MEETING""}"
https://i.imgflip.com/4/1otk96.jpg,"{""selected_caption"": ""MY FRIEND WHEN I'M TRYING TO TAKE AN ONLINE MEETING""}"
https://i.imgflip.com/4/2fm6x.jpg,"{""selected_caption"": ""THERE ARE TYPES OF GAMERS. ONE OF THEM IS GAMERS PLAYING MINECRAFT; AND THEN THERE'S ME TRYING TO PLAY EVEN THE LOWEST QUALITY GAMES BUT MY PC IS LIKE S##T""}"
https://i.imgflip.com/4/m78d.jpg,"{""selected_caption"": ""The image is a comic strip showing a job interview that takes an unexpected turn when the interviewee leaps out of the window after a brief exchange.""}"
https://i.imgflip.com/4/26am.jpg,"{""selected_caption"": ""YA SEE IF YOU CAN USE 1 AS A VARIABLE THEN THIS IS POSSIBLE. 1 + 2 = 4""}"
